SALES_CHANNEL,TOTAL_PRICE,FINAL_RESULT,HOUR_OF_DAY,ACTIVE_WATCH_DURATION_MINS,ORDER_HOLD_DURATION_MINS,ACCOUNT_OPEN_TO_ORDER_MINS,CASECLOSE_TO_ORDERCLOSE_MINS,CASEOPEN_TO_CASECLOSE_MINS,Risk Label
TELESALES,635.76,GREEN,15,19.511607066635072,8.95,5462.4,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,19,19.511607066635072,36.8472312529113,80.33,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,20,19.511607066635072,36.8472312529113,8436.52,4591.62403938334,4040.2939254951734,Good
TELESALES,127.49,GREEN,20,19.511607066635072,15.47,36358.07,4591.62403938334,4040.2939254951734,Good
ONLINE,741.84,GREEN,13,70.12,72.15,896259.52,4591.62403938334,4040.2939254951734,Good
TELESALES,252.48,GREEN,18,22.97,23.73,1616.9,4591.62403938334,4040.2939254951734,Collections
RETAIL,817.25,GREEN,19,19.511607066635072,15.03,44628.43,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,19,19.511607066635072,36.8472312529113,0.95,4591.62403938334,4040.2939254951734,Good
TELESALES,1378.03,YELLOW,0,19.511607066635072,9.2,9.27,4158.68,4174.0,Fraud
RETAIL,262.56,GREEN,16,19.511607066635072,10.45,2631.22,4591.62403938334,4040.2939254951734,Good
ONLINE,1324.92,RED,15,23.07,56.42,313455.27,5963.08,6480.02,Fraud
TELESALES,0.0,GREEN,22,14.33,135.53,607856.95,4591.62403938334,4040.2939254951734,Good
ONLINE,736.94,GREEN,14,19.511607066635072,19.32,144777.78,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,0,19.511607066635072,36.8472312529113,0.8,4591.62403938334,4040.2939254951734,Good
TELESALES,128.16,GREEN,18,15.1,17.07,27.02,4591.62403938334,4040.2939254951734,Good
RETAIL,527.49,GREEN,14,19.511607066635072,13.72,11.18,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,15,19.511607066635072,18.07,343490.35,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,16,19.511607066635072,36.8472312529113,104.05,4591.62403938334,4040.2939254951734,Good
TELESALES,808.36,YELLOW,23,18.28,19.65,898830.55,4624.98,5326.78,Fraud
TELESALES,130.92,GREEN,17,19.511607066635072,15.17,16.38,4591.62403938334,4040.2939254951734,Good
TELESALES,128.79,GREEN,18,19.511607066635072,12.07,4.75,4591.62403938334,4040.2939254951734,Good
ONLINE,815.01,GREEN,20,21.72,23.22,509226.33,4591.62403938334,4040.2939254951734,Good
TELESALES,610.84,GREEN,16,19.511607066635072,12.62,11.95,4591.62403938334,4040.2939254951734,Good
TELESALES,534.92,GREEN,19,13.53,15.27,13.78,4591.62403938334,4040.2939254951734,Good
RETAIL,255.36,GREEN,19,19.511607066635072,16.78,15.17,4591.62403938334,4040.2939254951734,Good
TELESALES,1165.92,RED,17,19.511607066635072,13.77,1168.22,1440.78,1615.43,Fraud
TELESALES,128.16,GREEN,19,20.67,27.38,46078.42,4591.62403938334,4040.2939254951734,Collections
TELESALES,127.71,RED,17,19.511607066635072,36.8472312529113,19.85,4591.62403938334,4040.2939254951734,Good
ONLINE,1108.58,YELLOW,21,19.511607066635072,25.18,437281.1,347.27,2400.28,Good
ONLINE,859.92,GREEN,23,22.45,24.48,568441.97,4591.62403938334,4040.2939254951734,Good
TELESALES,748.84,GREEN,19,19.511607066635072,8.27,254943.32,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,22,19.511607066635072,36.8472312529113,8744.08,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,17,19.511607066635072,36.8472312529113,55426.77,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,21,19.511607066635072,36.8472312529113,5.77,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,2,13.83,960.85,31999.23,4591.62403938334,4040.2939254951734,Good
TELESALES,256.32,GREEN,20,15.08,16.77,6.25,4591.62403938334,4040.2939254951734,Good
ONLINE,635.76,GREEN,2,19.511607066635072,8.93,60.25,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,14,19.511607066635072,36.8472312529113,6.0,4591.62403938334,4040.2939254951734,Good
TELESALES,802.26,GREEN,17,22.53,24.48,36.65,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,17,19.511607066635072,36.8472312529113,15.28,4591.62403938334,4040.2939254951734,Good
ONLINE,761.57,GREEN,22,23.52,26.23,211855.8,4591.62403938334,4040.2939254951734,Good
ONLINE,1092.34,GREEN,0,19.511607066635072,8.87,221102.47,4591.62403938334,4040.2939254951734,Good
ONLINE,1059.84,GREEN,14,19.511607066635072,12.85,2.13,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,20,20.62,20.47,8913.2,4591.62403938334,4040.2939254951734,Good
ONLINE,531.67,GREEN,17,19.511607066635072,12.42,164939.87,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,21,19.511607066635072,36.8472312529113,4.08,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,18,19.511607066635072,36.8472312529113,21.83,4591.62403938334,4040.2939254951734,Good
TELESALES,789.51,GREEN,23,19.511607066635072,13.37,238412.77,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,22,19.511607066635072,36.8472312529113,1.78,4591.62403938334,4040.2939254951734,Good
TELESALES,789.51,GREEN,20,19.511607066635072,17.68,7.75,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,12,19.511607066635072,36.8472312529113,2503.85,4591.62403938334,4040.2939254951734,Good
ONLINE,1337.42,YELLOW,2,19.511607066635072,14.58,224.27,3383.25,5484.45,Fraud
RETAIL,1079.44,GREEN,22,19.511607066635072,15.77,30.38,4591.62403938334,4040.2939254951734,Good
